Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),AUC,TP,TN,FP,FN
ResNet50,0.6336,0.3168,0.5000,0.3878,0.5448,0,453,0,262
Xception,0.9986,0.9989,0.9981,0.9985,1.0000,261,453,0,1
